ECG,GSR,PPG_red,PPG_ir,PPG_green,absolute_time,label
2.0978139652892025e-13,1003.0000000000001,36962.500000000015,28902.500000000022,11487.500000000002,1711141249.4425843,
1716.729590414716,2035.5527947955975,104856.85186525268,101870.30006987268,23304.387587461686,1711141249.4554048,
1765.2281629567494,1994.1657407391358,130891.51633395567,155110.69726862904,22797.371575623103,1711141249.4682252,
268.5437595815464,2014.8405125287857,130477.12399627495,166904.69390118163,23015.985909612424,1711141249.4810457,
1785.810736861967,2005.9388731519173,130612.54307061971,166513.20848871858,22930.10048637713,1711141249.4938664,
1600.4720657304135,2007.6470831393774,130571.82844100698,166633.126502945,22964.78094900822,1711141249.506687,
1698.7985626043635,2008.0302370575687,130577.3844054165,166590.02454257966,22956.15919275448,1711141249.5195074,
1481.9398167710794,2008.614999984404,130550.39005672236,166583.1076621786,22950.435502895547,1711141249.532328,
1990.3717310006584,2008.243771410491,130546.77936209274,166560.8069334488,22930.45315535305,1711141249.5451484,
2820.8033008544844,2007.208230411087,130549.84172012264,166565.63629362045,22917.243391628046,1711141249.5579689,
1439.9038312369155,2007.1224214144775,130544.39985797546,166553.72068859384,22923.626014182173,1711141249.5707893,
1721.6300303205337,2007.7345675367694,130536.68071557766,166540.3939276668,22936.096894109993,1711141249.5836098,
1568.0702500898617,2008.1586440614747,130540.45444245182,166547.6238481648,22932.742877617766,1711141249.5964305,
1939.7176119861706,2007.3848854017897,130544.85842553913,166551.20522393708,22936.742549956878,1711141249.609251,
775.789376550741,2007.471392991294,130539.21629106649,166556.20813632285,22934.325447182844,1711141249.6220715,
872.6745064641364,2007.9458963597438,130544.4935597327,166548.31777761146,22912.398572116967,1711141249.634892,
1878.3107212562093,2006.7122091903252,130550.98638513373,166533.55330579478,22914.6706967135,1711141249.6477125,
1333.7358563740786,2006.8893725887795,130548.8425004707,166538.16624320613,22932.122206940287,1711141249.660533,
2921.2269671301574,2006.3232815538024,130542.62739631944,166537.8016623932,22930.67788708282,1711141249.6733534,
2131.026069418481,2005.9343766025795,130554.4612473064,166534.24264158218,22939.1100530479,1711141249.686174,
1489.9263775495574,2006.0043677069305,130547.86273652244,166537.2743555962,22937.108486757694,1711141249.6989946,
1939.2204553675033,2006.2986273161991,130518.8779708873,166543.34080831762,22928.790261161677,1711141249.711815,
200.0590636904185,2007.5094677265292,130529.33575874673,166545.87579726684,22931.5869269788,1711141249.7246356,
1471.6258295785792,2006.1369685070445,130533.22885499366,166532.11520979498,22936.730354924057,1711141249.737456,
1702.0685640345002,2006.4001468291442,130520.79805813833,166544.94919742752,22934.267238421744,1711141249.7502766,
1599.8508239882572,2007.4920220054116,130527.16256190142,166539.55667048215,22919.498774483847,1711141249.763097,
3300.002519528191,2006.9996423029402,130524.48463729935,166549.5072550409,22911.998577666473,1711141249.7759175,
1596.9664778829163,2006.4478722911435,130500.772225086,166548.06974082056,22909.170159297784,1711141249.788738,
1710.4312177603158,2004.9793979436458,130515.29419144483,166536.73197692988,22899.93415219741,1711141249.8015587,
